title,rating,offer_price,origional_price,url,description,des,dis2
Diverse Men's Regular Formal Shirt  ,4.0 out of 5 stars,409,"₹409₹1,199",https://www.amazon.in//gp/bestsellers/apparel/1968096031/ref=sr_bs_0_1968096031_1,,,
"Tryme Fashion Men's Regular Fit Casual Shirt  ₹699₹699 ₹1,999₹1,999 ",3.9 out of 5 stars,699,"₹699₹1,999",https://www.amazon.in//Tryme-Fashion-Cotton-Checked-Sleeves/dp/B08LH1SKFD/ref=sr_1_2?dchild=1&keywords=shirts&qid=1620052587&s=computers&sr=1-2,"Shop from a wide range of Shirt from Tryme Fashion. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Is Discontinued By Manufacturer:NoPackage Dimensions:26.8 x 23.8 x 6.1 cm; 290 GramsDate First Available:24 October 2018Manufacturer:TRYme FashionASIN:B0848RMQ69Item part number:Men's Casual Shirt ChecksDepartment:MenManufacturer:TRYme FashionItem Weight:290 g,Care Instructions: Dry Clean OnlyFit Type: Regular FitWash Care: Dry Clean OnlyFabric Type: CottonPattern name: SolidClosure Type: ButtonedSleeve Type: Long Sleeve; Collar Style: Classic
Ontarious Look Men's Cotton Digital Printed Half Sleeves Shirt  ₹499₹499 ₹999₹999 ,4.6 out of 5 stars,499,₹499₹999,https://www.amazon.in//Ontarious-Look-Digital-Printed-Sleeves/dp/B091F9CNNV/ref=sr_1_3?dchild=1&keywords=shirts&qid=1620052587&s=computers&sr=1-3,"Crafted in a pure cotton fabric, this half-sleeved, regular-fit modern shirt offers superb comfort and an impeccable finish.  A reliable option for business wear, the shirt features a modern collar. Team with tailored trousers and blazer for a pared-back professional look. For that super smart weekend style, modern men can pick this casual shirt from Ontarious Look. Detailed with printed effect all over, this short-sleeved shirt is surely not to be missed out on. Made from cotton fabric, this shirt can be clubbed with denims and casual shoes. Look smart in casual/ formal/ partywear shirt from the house of Ontarious. The stylish look enhances the overall appreal of this shirt. This shirt ensures great comfort all day long. This shirt can be best teamed with a pair of trousers,jeans,chinos and lace-ups. Color and Sizes available. ",Date First Available:31 March 2021Manufacturer:Ontarious LookASIN:B091F9268NItem part number:OL_Shree_Shirt_Black_MDepartment:MenManufacturer:Ontarious LookNet Quantity:1.00 count,"Care Instructions: Machine WashFit Type: RegularMade of 100% Cotton, soft, comfy and breathable.Look trendy and feel comfortable with this Shirt.This Shirt will cater a rich in-class and genuine appearance in any kind of ambience and will comfort you with saving time.This Shirt is perfect for everyone like school-college student, working and sports person etc. and can be wear in workplaces, house or kitty parties, friendly outings, sports activities or even while travelling."
"Dennis Lingo Men's Solid Slim Fit Casual Shirt  ₹522₹522 ₹1,849₹1,849 ",3.8 out of 5 stars,522,"₹522₹1,849",https://www.amazon.in//Dennis-Lingo-Casual-C301_SkyBlue_L_Sky-Blue_L/dp/B079S5GVRK/ref=sr_1_4?dchild=1&keywords=shirts&qid=1620052587&s=computers&sr=1-4,"Product Details:This Casual Solid shirt has a Mandarin / Chinese collar, full button Placket, Long Sleeves, and a curved hemlineSize and FitSlim FitThe Model (height 6 foot and shoulders 18 inches is wearing size 40/MPlease check the size chart for more details before orderingMaterial & Care100% Premium Cotton (Machine Wash Regular)Style TipEnhance your look by wearing this Casual Stylish Men's shirt. Team it with a pair of Chinos and white sneakers for a fun Smart Casual lookAbout the Brand DENNIS LINGOFinding Basic Menswear for daily use can be hard among todays Fast fashion world, where trends change daily. That’s why we started Dennis Lingo, to create a one stop shop for premium essential clothing for everyday use at lowest prices","Product Dimensions:30 x 24 x 1 cm; 200 GramsDate First Available:2 August 2019Manufacturer:Swastik CreationASIN:B07W2YBGJ3Item model number:C301_B-GREEN_SDepartment:MenManufacturer:Swastik Creation, Swastik Creation -B-21, Bharat Ind. Estate, Sewree (w) ,Mumbai-15, Email - dennislingoshirts@gmail.com, Phone No. 022-22010742Packer:Swastik Creation -B-21, Bharat Ind. Estate, Sewree (w) ,Mumbai-15, Email - dennislingoshirts@gmail.com, Phone No. 022-22010742Item Weight:200 gItem Dimensions LxWxH:30 x 24 x 1 CentimetersNet Quantity:1 NumbersIncluded Components:Casual ShirtGeneric Name:Casual Shirt",Care Instructions: Machine WashFit Type: slim fitColor Name: Bottle Green100% CottonLong sleeveSlim fitMachine wash
Allen Solly Men's Plain Slim Fit Casual Shirt  ,3.6 out of 5 stars,729,"₹729₹1,399",https://www.amazon.in//gp/bestsellers/apparel/1968094031/ref=sr_bs_4_1968094031_1,,,
Sitafal Trendz Mens Shirts Mens Half Sleeve Shirts - Men's Summer Shirt Rayon Cotton Lining Digital Printed Stitched Half Sleeve Shirt  ,2.1 out of 5 stars,649,"₹649₹1,449",https://www.amazon.in//Sitafal-Trendz-Mens-Shirts-Sleeve/dp/B092J1G2BR/ref=sr_1_6?dchild=1&keywords=shirts&qid=1620052587&s=computers&sr=1-6,"We Launch exclusive new range of high quality printed casual shirt for mans under range; This printed casual shirt has slim collar; a full button placket; long sleeves; and a curved hemline; the product made out of best quality Rayon. It designed for comfort and style; it can be worn to parties; casual meetings or a movie date. Make it up with a pair of denims; chinos; shorts or formal trousers and set the town on fire with your Style. 100% Washable Digital Printed Shirts Fabric White Hand-wash, MACHINE WASH DIGITAL PRINTED SHIRTS. This shirt made of premium quality material. Searching for casual shirts for this summer or festive? Then this smart shirt, Digital Printed Sanskar Fashion shirt from the house of Sanskar Fashion Garments are here to end your search. This amazing printed shirt will make you fall in love with the attractive colour. It's very cool on skin. Quality 100% premium fabric is really different from others. Design The shirt features a half sleeve and a Regular collar design which gives the shirt a stylish look and feel. For any of your casual evenings this shirt can be your option to wear.",Date First Available:8 April 2021ASIN:B092HT3LKGItem part number:WOOLFDepartment:MenNet Quantity:1.00 count,Care Instructions: Dry Clean OnlyFit Type: Regular FitCare Instructions: Hand Wash OnlyFit Type: WesternPLEASE CHECK THE SIZE BEFORE ORDER - MEASURE WITH YOUR BODY SIZECare Instructions: Hand Wash Only Fit Type: Regular Fit : Breathable : truly comfortable and easy to wear in every season it is insulating in winter and breathable in summerStylish Half sleeve casual Printed Shirts & Party Wear Casual shirtsPattern: Digital Printed Cotton Shirts & Party Wear Printed Cotton Shirts. Stylish Printed Casual Shirt
IndoPrimo Men's Slim Fit Casual Shirt  ,3.8 out of 5 stars,699,"₹699₹1,999",https://www.amazon.in//IndoPrimo-Cotton-Casual-Stylish-Sleeve/dp/B08R21T75D/ref=sr_1_7?dchild=1&keywords=shirts&qid=1620052587&s=computers&sr=1-7,"Shop from a wide range of Casual Shirt from IndoPrimo . Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Is Discontinued By Manufacturer:NoPackage Dimensions:14 x 14 x 4 cm; 300 GramsDate First Available:31 August 2018Manufacturer:IndoPrimoASIN:B08R21DKPCItem part number:Men's Stylish Casual Shirt LizaDepartment:MenManufacturer:IndoPrimoItem Weight:300 gNet Quantity:1.00 Unit,"Care Instructions: Hand Wash OnlyFit Type: Regular Fit100% High-grade Cotton Fabrics: Good capability of tenderness, air permeability and moisture absorption feels soft and comfy.Suitable for: Sports, Casual, Business Work, Date, Party, Perfect gift for families, friends and boyfriendSlim Fit , Fabric: 100% Cotton , Full Sleeve ,Casual ShirtsHigh Quality Fabric and StitchingWash Instruction: Handwash / Machine wash| Low iron and tumble dry on low heat"
SIFOJON Men's Cotton Lining Digital Printed Shirt Fabric (Free Size) Bye 2 get 1 free  ,3.5 out of 5 stars,489,"₹489₹1,599",https://www.amazon.in//gp/bestsellers/apparel/5229857031/ref=sr_bs_7_5229857031_1,,,
Dennis Lingo Men's Solid Slim Fit Casual Shirt  ,3.9 out of 5 stars,522,"₹522₹1,849",https://www.amazon.in//Dennis-Lingo-Solid-Casual-CC201_Dustypink_M_Dustypink_M/dp/B07HK6NT81/ref=sr_1_9?dchild=1&keywords=shirts&qid=1620052587&s=computers&sr=1-9,"Product Details:This Casual Solid shirt has a Mandarin / Chinese collar, full button Placket, Long Sleeves, and a curved hemlineSize and FitSlim FitThe Model (height 6 foot and shoulders 18 inches is wearing size 40/MPlease check the size chart for more details before orderingMaterial & Care100% Premium Cotton (Machine Wash Regular)Style TipEnhance your look by wearing this Casual Stylish Men's shirt. Team it with a pair of Chinos and white sneakers for a fun Smart Casual lookAbout the Brand DENNIS LINGOFinding Basic Menswear for daily use can be hard among todays Fast fashion world, where trends change daily. That’s why we started Dennis Lingo, to create a one stop shop for premium essential clothing for everyday use at lowest prices","Product Dimensions:30 x 24 x 1 cm; 200 GramsDate First Available:11 June 2018Manufacturer:Swastik CreationASIN:B07D9VVXKQItem model number:CC201_BROWNDepartment:MenManufacturer:Swastik Creation, Swastik Creation -B-21, Bharat Ind. Estate, Sewree (w) ,Mumbai-15, Email - dennislingoshirts@gmail.com, Phone No. 022-22010742Packer:Swastik Creation -B-21, Bharat Ind. Estate, Sewree (w) ,Mumbai-15, Email - dennislingoshirts@gmail.com, Phone No. 022-22010742Item Weight:200 gItem Dimensions LxWxH:30 x 24 x 1 CentimetersNet Quantity:1 NumbersIncluded Components:Casual ShirtGeneric Name:Shirt","Care Instructions: Machine WashFit Type: slim fit100% premium Cotton, pre washed for an extremely soft finish and rich lookStylish full sleeve casual shirtModern slim fit ( we have updated our size chart, please refer the size chart for new measurements before ordering)Best for casual & smart casual wearSize chart - s-38, m-40, cold-42, xl-44, xxxl-46"
Leriya Fashion Offers All Kinds of Tops for Both Women and Girls - Tops for Women  ,3.5 out of 5 stars,349,"₹349₹1,999",https://www.amazon.in//Leriya-Fashion-Womens-Sleeves-36-inch/dp/B07MZ4GNGD/ref=sr_1_10?dchild=1&keywords=shirts&qid=1620052587&s=computers&sr=1-10,"Crisp white Slab Cotton shirt, has a mandarin collar, three-quarter bell sleeves with tie-up detail, concealed full button placket, straight hem. This product is made of Synthetic, Crape. Available in size :- S, M, L and XL. Ideal for daily, casual, party/evening, office/work wear, or semi formal occasion . Very nice and comfortable smart western wear clothes for women designed in line with the best international trends.Latest fashion that looks great and stylish on girls and would make an amazing gift. Note - the colour might appear slightly different due to changes in your screen resolution.","Product Dimensions:12 x 12 x 2 cm; 249 GramsDate First Available:19 November 2019Manufacturer:Leriya FashionASIN:B085HWRC3HItem model number:LF-W1223-SDepartment:WomenManufacturer:Leriya Fashion, Leriya FashionItem Weight:249 gItem Dimensions LxWxH:12 x 12 x 2 CentimetersNet Quantity:1.00 countGeneric Name:Top",Care Instructions: Dry Clean OnlyFit Type: Regular FitColor Name: BlackMaterial: RayonDry clean onlyTunicThree Quarter sleeveRound neck
