title,rating,offer_price,origional_price,url,description,des,dis2
"ASUS TUF FX766LI-H7061T I7-10TH GENERATION 4GB 16GB 512SSD 17.3 INCH  ₹86,990₹86,990 ₹1,23,990₹1,23,990 ",5.0 out of 5 stars,"86,990","₹86,990₹1,23,990",https://www.amazon.in//ASUS-FX766LI-H7061T-I7-10TH-GENERATION-512SSD/dp/B08QJS1WRD/ref=sr_1_1?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-1,ASUS TUF Gaming F17 FX766LI-H7061T Intel Core i7-10750H/GTX1650Ti-4GB/16GB/512GB SSD/17.3 FHD-120hz/WIN 10 HOME/1y,,It has Intel Core i7-10750H  It has Windows 10  It is a Gaming Laptop
Mens Silk Look Full Sleeve Regular Fit Shirt + Double Layer 8 Mulam Dhoti(Free Size) + Single Towel  ,4.3 out of 5 stars,"1,995","₹1,995₹2,995",https://www.amazon.in//PRAKASAM-COTTON-Sleeve-Regular-Double/dp/B08BV48WP4/ref=sr_1_24?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-24-catcorr,"Prakasam Cotton is the leading online sales dhoti brand in india online market.This versatile piece of fabric is an essential part of a man's wardrobe for weddings. The Mapillai Set contains One Cream Colour 8 yard (8 Mulam) Dhoti, Cream Colour 4 yard (4 Mulam) towel (gamcha), Readymade Cream Full Sleeve Shirt.",Product Dimensions:25.4 x 22.86 x 5.08 cm; 600 GramsDate First Available:25 June 2020Manufacturer:J.P RetailsASIN:B08BV4BPBBItem part number:ASHA-RS-3IN1-001Department:MenManufacturer:J.P RetailsItem Weight:600 gItem Dimensions LxWxH:25.4 x 22.9 x 5.1 Centimeters,"Colour CreamContains of packing : Asha Silk Readymade Full Sleeve Shirt + 8 Mulam Double Dhoti + 4 Mulam TowelFabric & Fit : Asha Silk, Fit Regular Full SleeveSize : Shirt -36, Dhoti : 1.30 x 3.70 Mtrs, Towel - 1.30 x 1.80 mtrspack of : 3 (Ready made Shirt + 8 Mulam Dhoti + Single towel)"
Dennis Lingo Men's Shirt  ,3.9 out of 5 stars,699,"₹699₹2,499",https://www.amazon.in//Dennis-Lingo-Checkered-D-Blue-AZ751_D-Blue_M/dp/B08YNWZ2VQ/ref=sr_1_14?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-14-catcorr,"Product Details:This Casual Checkered shirt has a Slim Collar, Full Sleeves and a curved hemlineSize and FitSlim FitThe Model (height 6 foot and shoulders 18 inches is wearing size 40/MPlease check the size chart for more details before orderingMaterial & Care100% Premium Cotton (Machine Wash Regular)Style TipEnhance your look by wearing this Casual Stylish Men's shirt, Team it with a pair of rugged tapered denims/Or Solid Chinos and White Sneakers for a fun Casual Casual lookAbout the Brand DENNIS LINGOFinding Basic Menswear for daily use can be hard among todays Fast fashion world, where trends change daily. That’s why we started Dennis Lingo, to create a one stop shop for premium essential clothing for everyday use at lowest prices","Product Dimensions:30 x 24 x 1 cm; 200 GramsDate First Available:25 May 2018Manufacturer:Swastik CreationASIN:B07D9SQ4XCItem model number:C415_MUSTARD_SDepartment:MenManufacturer:Swastik Creation, Swastik Creation -B-21, Bharat Ind. Estate, Sewree (w) ,Mumbai-15, Email - dennislingoshirts@gmail.com, Phone No. 022-22010742Item Weight:200 gItem Dimensions LxWxH:30 x 24 x 1 CentimetersNet Quantity:1 NIncluded Components:Casual ShirtGeneric Name:Shirt","Care Instructions: Machine WashFit Type: slim fit100% premium Cotton, pre washed for an extremely soft finish and rich lookStylish full sleeve checkered casual shirtModern slim fit ( we have updated our size chart, please refer the size chart for new measurements before ordering)There might be minor color variation between actual product and image shown on screen due to lighting on the photography, Best for casual & smart casual wearSize chart - s-38, m-40, l-42, xl-44, xxl-46Country of Origin: India"
"My Fabric Store Men's Cotton-Blend Shirt & Poly Viscose Pant Unstitched Executive Fabric Combo Set with Gift Box(Blue-01 : Blue,Shirt 2.2 Meters Pant 1.2 Meters)  ",3.5 out of 5 stars,549,"₹549₹1,099",https://www.amazon.in//My-Fabric-Store-Unstitched-Trouser/dp/B0100RDGUI/ref=sr_1_19?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-19-catcorr,"Package Contents: 1 Shirt Fabric and 1 Trouser Fabric with Gift Box. About the Fabric MyFabricStore Executive Shirt and Trouser Fabric Combo for Men - Stylish and Sophisticated. Trouser is made of high quality poly viscose suiting fabric and features a Solid Self Design. Shirt fabric is made of High Quality Blended Cotton and its very lightweight and comfortable. A Versatile PV and Cotton Rich fabric makes it a perfect choice for Power Dressing. Good for all Seasons - Summer Wear, Spring, Winter Wear or Autumn.  Features: The Perfect Look: A great style and perfect fit are instrumental for good dressing! Look cool and smart, feel comfortable and make the right impression with this premium shirt and trouser fabric from My Fabric Store.  Gifting: This Fabric will make a perfect gift for Weddings, Anniversary, or Birthdays. Now don't be confused on what to gift your Son, Father, Father in law, Son in law, Grooms on special occasion and choose this well crafted fabric to leave last longing impression.  Occasion: This Premium Shirt and Pant fabric will make great for a Business Meeting, Formal Wear, Semi-Formal Wear, Evening or Any Casual Events. Fitting:Fits perfectly after stitching and even after many washes. Unique Gifts Idea: Perfect for Birthdays, Marriages, Husbands, Groom, Father, Brother and all your loved ones.  About the brandwith season focused offerings that blend in both key fashion inputs dictated by International trends and the highest quality standards MyFabricStore is trending Fabric brand on Amazon. We are Pioneers in Selling Fabrics Online.   Fresh new designs, trusted quality at everyday Best prices. Please Check out New Arrivals and our Complete collection of Men Fabrics on Amazon by Clicking on ""MyFabricStore""  Made in India",Is Discontinued By Manufacturer:NoPackage Dimensions:21.3 x 16.8 x 4.3 cm; 510 GramsDate First Available:19 June 2015Manufacturer:My Fabric StoreASIN:B0100RDGUIItem part number:GWL_NAK_STR_COMBO_3Country of Origin:IndiaDepartment:MenManufacturer:My Fabric StoreItem Weight:510 g,"Fine And Elegant Pre-Matched Shirt And Trouser Fabric. Soft And Comfortable For All Day DressingIdeal For Personal Use As Well As Gifting In Marriage, Festival And Other Occasions. Perfect For Special Occasions, Formal Or Semi-Casual LookCollection Of Shirt And Trouser Combo Set. Comes In Gift Box."
Tryme Fashion Men's Regular Fit Casual Shirt  ,3.9 out of 5 stars,699,"₹699₹1,999",https://www.amazon.in//Tryme-Fashion-Cotton-Checked-Sleeves/dp/B08LH1SKFD/ref=sr_1_1?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-1-catcorr,"Shop from a wide range of Shirt from Tryme Fashion. Perfect for your everyday use, you could pair it with a stylish pair of Jeans or Trousers complete the look.",Is Discontinued By Manufacturer:NoPackage Dimensions:26.8 x 23.8 x 6.1 cm; 290 GramsDate First Available:24 October 2018Manufacturer:TRYme FashionASIN:B0848RMQ69Item part number:Men's Casual Shirt ChecksDepartment:MenManufacturer:TRYme FashionItem Weight:290 g,Care Instructions: Dry Clean OnlyFit Type: Regular FitWash Care: Dry Clean OnlyFabric Type: CottonPattern name: SolidClosure Type: ButtonedSleeve Type: Long Sleeve; Collar Style: Classic
Diverse Men's Regular Formal Shirt  ,4.0 out of 5 stars,499,"₹499₹1,199",https://www.amazon.in//gp/bestsellers/apparel/1968096031/ref=sr_bs_2_1968096031_1,,,
Allen Solly Men's Plain Slim Fit Casual Shirt  ,3.6 out of 5 stars,790,"₹790₹1,399",https://www.amazon.in//Allen-Solly-Plain-Casual-ASSFWMOFB12720_Grey_42/dp/B07DMX4XHP/ref=sr_1_4?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-4-catcorr,Allen solly Mens Cotton Full sleeve Overdyed shirts with contrast logo,"Product Dimensions:15 x 15 x 3 cm; 450 GramsDate First Available:9 June 2018Manufacturer:Aditya Birla Fashion and Retail LimitedASIN:B07DMYF77CItem model number:ASSFWMOFT40543Department:MenManufacturer:Aditya Birla Fashion and Retail Limited, Aditya Birla Fashion and Retail Limited. Kh No. 118/110/1, Building 2, Divyasree Technopolis, Yemalur Post, Off HAL Airport Road, Bengaluru-560037 - Contact - 9742580560Packer:Aditya Birla Fashion and Retail Limited. Kh No. 118/110/1, Building 2, Divyasree Technopolis, Yemalur Post, Off HAL Airport Road, Bengaluru-560037 - Contact - 9742580560Importer:Aditya Birla Fashion and Retail LimitedItem Weight:450 gItem Dimensions LxWxH:15 x 15 x 3 CentimetersNet Quantity:1 UIncluded Components:1-ShirtGeneric Name:Shirt",Care Instructions: Machine WashFit Type: slim fit100% CottonSlim fitLong sleeveMachine washPlus size available from size 46/XXL onwards
Ontarious Look Men's Cotton Digital Printed Half Sleeves Shirt  ,3.6 out of 5 stars,499,₹499₹999,https://www.amazon.in//Ontarious-Look-Digital-Printed-Sleeves/dp/B091F9CNNV/ref=sr_1_2?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-2-catcorr,"Crafted in a pure cotton fabric, this half-sleeved, regular-fit modern shirt offers superb comfort and an impeccable finish.  A reliable option for business wear, the shirt features a modern collar. Team with tailored trousers and blazer for a pared-back professional look. For that super smart weekend style, modern men can pick this casual shirt from Ontarious Look. Detailed with printed effect all over, this short-sleeved shirt is surely not to be missed out on. Made from cotton fabric, this shirt can be clubbed with denims and casual shoes. Look smart in casual/ formal/ partywear shirt from the house of Ontarious. The stylish look enhances the overall appreal of this shirt. This shirt ensures great comfort all day long. This shirt can be best teamed with a pair of trousers,jeans,chinos and lace-ups. Color and Sizes available. ",Date First Available:31 March 2021Manufacturer:Ontarious LookASIN:B091F9268NItem part number:OL_Shree_Shirt_Black_MDepartment:MenManufacturer:Ontarious LookNet Quantity:1.00 count,"Care Instructions: Machine WashFit Type: RegularMade of 100% Cotton, soft, comfy and breathable.Look trendy and feel comfortable with this Shirt.This Shirt will cater a rich in-class and genuine appearance in any kind of ambience and will comfort you with saving time.This Shirt is perfect for everyone like school-college student, working and sports person etc. and can be wear in workplaces, house or kitty parties, friendly outings, sports activities or even while travelling."
Amazon Brand - Inkast Denim Co. Men's Slim Fit Casual Shirt  ,3.9 out of 5 stars,709,"₹709₹2,199",https://www.amazon.in//Amazon-Brand-Inkast-S-33A_Ice-Blue_Medium/dp/B07GSH83Y6/ref=sr_1_18?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-18-catcorr,"INKAST 100% Cotton Indigo casual shirt. Apt for casual outings, this shirt keeps you comfortble and stylish all day long.",Package Dimensions:36.4 x 28.4 x 4.6 cm; 360 GramsDate First Available:23 August 2018Manufacturer:Inkast Denim Co.ASIN:B07GSL2C8SItem model number:IN-S-33ADepartment:MenManufacturer:Inkast Denim Co.Item Weight:360 gGeneric Name:Casual Shirt,"Care Instructions: Machine WashFit Type: Slim FitMaterial - 100% CottonSlim fit and Full sleeve shirtCollar style - Button down collar; Cuff style - Single cuffPattern - Solid Men’s Casual ShirtIndigo dyed ice washed shirt with button down collar & stylised chest pocketMachine wash warm, wash dark colors separately, do not bleach, tumble dry low, warm Iron"
Amazon Brand - Symbol Men Casual Shirt  ,4.0 out of 5 stars,729,"₹729₹1,899",https://www.amazon.in//Amazon-Brand-Checkered-Regular-AZ-SY-RR01_9322_Red-Black_Large/dp/B07QGK8PD2/ref=sr_1_8?dchild=1&keywords=shirts&qid=1620300786&s=computers&sr=1-8-catcorr,,Package Dimensions:30.48 x 27.18 x 4.32 cm; 200 GramsDate First Available:5 April 2019Manufacturer:Amazon Brand - SymbolASIN:B07QBCMXTNItem model number:AZ-SY-RR01_9322Department:MenManufacturer:Amazon Brand - SymbolItem Weight:200 gGeneric Name:Casual Shirt,Care Instructions: Machine WashFit Type: RegularMaterial - 100% CottonRegular fit and Full sleeve shirtCollar style - Classic collar; Cuff style - Single cuffPattern - Checkered Men’s Casual ShirtMachine washMade in India
